,width,depth,auxiliary,seed,accuracy
0,64,1,3,0,0.4296875
1,64,1,10,1,0.7421875
2,64,1,50,2,0.7578125
3,64,1,100,3,0.75
4,64,1,1000,4,0.8671875
5,64,2,3,0,0.453125
6,64,2,3,1,0.1484375
7,64,2,3,2,0.09375
8,64,2,3,3,0.0625
9,64,2,3,4,0.21875
10,64,2,10,0,0.3671875
11,64,2,10,1,0.421875
12,64,2,10,2,0.4375
13,64,2,10,3,0.359375
14,64,2,10,4,0.4609375
15,64,2,50,0,0.7890625
16,64,2,50,1,0.7734375
17,64,2,50,2,0.7578125
18,64,2,50,3,0.75
19,64,2,50,4,0.8125
20,64,2,100,0,0.796875
21,64,2,100,1,0.7421875
22,64,2,100,2,0.734375
23,64,2,100,3,0.734375
24,64,2,100,4,0.8125
25,64,2,1000,0,0.8125
26,64,2,1000,1,0.765625
27,64,2,1000,2,0.796875
28,64,2,1000,3,0.703125
29,64,2,1000,4,0.796875
30,64,3,3,0,0.09375
31,64,3,3,1,0.171875
32,64,3,3,2,0.1796875
33,64,3,3,3,0.1484375
34,64,3,3,4,0.2734375
35,64,3,10,0,0.171875
36,64,3,10,1,0.5078125
37,64,3,10,2,0.375
38,64,3,10,3,0.234375
39,64,3,10,4,0.375
40,64,3,50,0,0.5625
41,64,3,50,1,0.765625
42,64,3,50,2,0.6875
43,64,3,50,3,0.609375
44,64,3,50,4,0.625
45,64,3,1000,0,0.53125
46,64,3,1000,1,0.8203125
47,64,3,1000,2,0.8125
48,64,3,1000,3,0.734375
49,64,3,1000,4,0.7265625
50,64,5,3,0,0.140625
51,64,5,3,1,0.0390625
52,64,5,3,2,0.125
53,64,5,3,3,0.0078125
54,64,5,3,4,0.078125
55,64,5,10,0,0.3203125
56,64,5,10,1,0.109375
57,64,5,10,2,0.28125
58,64,5,10,3,0.25
59,64,5,10,4,0.21875
60,64,5,50,0,0.65625
61,64,5,50,1,0.4765625
62,64,5,50,2,0.4921875
63,64,5,50,3,0.5859375
64,64,5,50,4,0.6484375
65,64,5,100,0,0.7265625
66,64,5,100,1,0.5
67,64,5,100,2,0.46875
68,64,5,100,3,0.65625
69,64,5,100,4,0.703125
70,64,5,1000,0,0.8125
71,64,5,1000,1,0.5703125
72,64,5,1000,2,0.4609375
73,64,5,1000,3,0.703125
74,64,5,1000,4,0.578125
75,128,1,3,0,0.2265625
76,128,1,3,1,0.3203125
77,128,1,3,2,0.265625
78,128,1,3,3,0.375
79,128,1,3,4,0.3984375
80,128,1,10,0,0.65625
81,128,1,10,1,0.7578125
82,128,1,10,2,0.765625
83,128,1,10,3,0.6875
84,128,1,10,4,0.7734375
85,128,1,50,0,0.8515625
86,128,1,50,1,0.8359375
87,128,1,50,2,0.8125
88,128,1,50,3,0.8671875
89,128,1,50,4,0.8515625
90,128,1,100,0,0.8359375
91,128,1,100,1,0.84375
92,128,1,100,2,0.8515625
93,128,1,100,3,0.8671875
94,128,1,100,4,0.8984375
95,128,1,1000,0,0.8828125
96,128,1,1000,1,0.828125
97,128,1,1000,2,0.8671875
98,128,1,1000,3,0.8515625
99,128,1,1000,4,0.8828125
100,128,2,3,0,0.1953125
101,128,2,3,1,0.09375
102,128,2,3,2,0.1875
103,128,2,3,3,0.4453125
104,128,2,3,4,0.3515625
105,128,2,10,0,0.6484375
106,128,2,10,1,0.2890625
107,128,2,10,2,0.21875
108,128,2,10,3,0.5546875
109,128,2,10,4,0.328125
110,128,2,50,0,0.8515625
111,128,2,50,1,0.828125
112,128,2,50,2,0.8828125
113,128,2,50,3,0.859375
114,128,2,50,4,0.859375
115,128,3,3,0,0.09375
116,128,3,3,1,0.28125
117,128,3,3,2,0.2578125
118,128,3,3,3,0.2265625
119,128,3,3,4,0.15625
120,128,3,10,0,0.359375
121,128,3,10,1,0.359375
122,128,3,10,2,0.46875
123,128,3,50,0,0.84375
124,128,3,50,1,0.8359375
125,128,3,50,2,0.734375
126,128,3,100,0,0.8671875
127,128,3,100,1,0.84375
128,128,3,100,2,0.765625
129,128,3,1000,0,0.8671875
130,128,3,1000,1,0.859375
131,128,3,1000,2,0.8828125
132,128,5,3,0,0.1796875
133,128,5,3,1,0.125
134,128,5,3,2,0.125
135,128,5,10,0,0.1796875
136,128,5,10,1,0.328125
137,128,5,10,2,0.1484375
138,128,5,50,0,0.515625
139,128,5,50,1,0.53125
140,128,5,50,2,0.765625
141,128,5,100,0,0.515625
142,128,5,100,1,0.765625
143,128,5,100,2,0.859375
144,128,5,1000,0,0.8671875
145,128,5,1000,1,0.8671875
146,128,5,1000,2,0.84375
147,256,1,3,0,0.265625
148,256,1,3,1,0.2734375
149,256,1,3,2,0.1015625
150,256,1,3,3,0.15625
151,256,1,3,4,0.28125
152,256,1,10,0,0.671875
153,256,1,10,1,0.5625
154,256,1,10,2,0.7265625
155,256,1,10,3,0.6796875
156,256,1,10,4,0.53125
157,256,1,50,0,0.875
158,256,1,50,1,0.796875
159,256,1,50,2,0.8984375
160,256,1,50,3,0.875
161,256,1,50,4,0.8359375
162,256,1,100,0,0.890625
163,256,2,3,0,0.2109375
164,256,2,3,1,0.25
165,256,2,3,2,0.2578125
166,256,2,3,3,0.1171875
167,256,2,3,4,0.265625
168,256,2,10,0,0.40625
169,256,2,10,1,0.4609375
170,256,2,10,2,0.4609375
171,256,2,10,3,0.3125
172,256,2,10,4,0.296875
173,256,2,50,0,0.875
174,256,2,50,1,0.8515625
175,256,2,50,2,0.7890625
176,256,2,50,3,0.8828125
177,256,2,50,4,0.8046875
178,256,2,100,0,0.875
179,256,2,100,1,0.8515625
180,256,2,100,2,0.8515625
181,256,2,100,3,0.8671875
182,256,2,100,4,0.8828125
183,256,2,1000,0,0.890625
184,256,2,1000,1,0.8671875
185,256,2,1000,2,0.8515625
186,256,2,1000,3,0.8984375
187,256,2,1000,4,0.875
188,256,3,3,0,0.2421875
189,256,3,3,1,0.1875
190,256,3,3,2,0.171875
191,256,3,3,3,0.328125
192,256,3,3,4,0.0859375
193,256,3,10,0,0.4609375
194,256,3,10,1,0.3984375
195,256,3,10,2,0.3828125
196,256,3,10,3,0.21875
197,256,3,10,4,0.296875
198,256,3,50,0,0.8671875
199,256,3,50,1,0.65625
200,256,3,50,2,0.8359375
201,256,3,50,3,0.7734375
202,256,3,50,4,0.640625
203,256,3,100,0,0.8671875
204,256,3,100,1,0.8671875
205,256,3,100,2,0.859375
206,256,3,100,3,0.8671875
207,256,3,100,4,0.8125
208,256,3,1000,0,0.890625
209,256,3,1000,1,0.8671875
210,256,3,1000,2,0.890625
211,256,3,1000,3,0.8359375
212,256,3,1000,4,0.84375
213,256,5,3,0,0.125
214,256,5,3,1,0.140625
215,256,5,3,2,0.109375
216,256,5,3,3,0.1953125
217,512,1,3,0,0.109375
218,512,1,3,1,0.2890625
219,512,1,3,2,0.1484375
220,512,1,3,3,0.265625
221,512,1,3,4,0.1328125
222,512,1,10,0,0.3359375
223,512,1,10,1,0.40625
224,512,1,10,2,0.4375
225,512,1,10,3,0.390625
226,512,1,10,4,0.3828125
227,512,1,50,0,0.859375
228,512,1,50,1,0.828125
229,512,1,50,2,0.890625
230,512,1,50,3,0.890625
231,512,1,50,4,0.8359375
232,512,1,100,0,0.8671875
233,512,1,100,1,0.859375
234,512,1,100,2,0.890625
235,512,1,100,3,0.8515625
236,512,1,100,4,0.828125
237,512,1,1000,0,0.890625
238,512,1,1000,1,0.8828125
239,512,1,1000,2,0.890625
240,512,1,1000,3,0.8828125
241,512,1,1000,4,0.84375
242,512,2,3,0,0.0
243,512,2,3,1,0.0546875
244,512,2,3,2,0.0078125
245,512,2,3,3,0.0703125
246,512,2,3,4,0.0703125
247,512,2,10,0,0.25
248,512,2,10,1,0.21875
249,512,2,10,2,0.109375
250,512,2,10,3,0.5
251,512,2,10,4,0.265625
252,512,2,50,0,0.7265625
253,512,2,50,1,0.7890625
254,512,2,50,2,0.7421875
255,512,2,50,3,0.828125
256,512,2,50,4,0.6796875
257,512,2,100,0,0.8671875
258,512,2,100,1,0.8515625
259,512,2,100,2,0.8515625
260,512,2,100,3,0.8359375
261,512,2,100,4,0.7890625
262,512,2,1000,0,0.8515625
263,512,2,1000,1,0.875
264,512,2,1000,2,0.859375
265,512,2,1000,3,0.8671875
266,512,2,1000,4,0.8359375
267,512,3,3,0,0.1015625
268,512,3,3,1,0.1171875
269,512,3,3,2,0.015625
270,512,3,3,3,0.1796875
271,512,3,3,4,0.25
272,512,3,10,0,0.25
273,512,3,10,1,0.2421875
274,512,3,10,2,0.328125
275,512,3,10,3,0.1015625
276,512,3,10,4,0.3671875
277,512,3,50,0,0.6171875
278,512,3,50,1,0.71875
279,512,3,50,2,0.6171875
280,512,3,50,3,0.625
281,512,3,50,4,0.6796875
282,512,3,100,0,0.71875
283,512,3,100,1,0.6875
284,512,3,100,2,0.546875
285,512,3,100,3,0.78125
286,512,3,100,4,0.7890625
287,512,3,1000,0,0.84375
288,512,3,1000,1,0.8359375
289,512,3,1000,2,0.828125
290,512,3,1000,3,0.8359375
291,512,3,1000,4,0.8828125
292,1024,1,3,0,0.15625
293,1024,1,3,1,0.0625
294,1024,1,3,2,0.1953125
295,1024,1,3,3,0.203125
296,1024,1,3,4,0.0234375
297,1024,1,10,0,0.1328125
298,1024,1,10,1,0.140625
299,1024,1,10,2,0.2890625
300,1024,1,10,3,0.34375
301,1024,1,10,4,0.21875
302,1024,1,50,0,0.8046875
303,1024,1,50,1,0.8046875
304,1024,1,50,2,0.8046875
305,1024,1,50,3,0.7109375
306,1024,1,50,4,0.828125
307,1024,1,100,0,0.859375
308,1024,1,100,1,0.8203125
309,1024,1,100,2,0.8515625
310,1024,1,100,3,0.8203125
311,1024,1,100,4,0.8203125
312,1024,1,1000,0,0.859375
313,1024,3,3,0,0.1015625
314,1024,3,3,1,0.015625
315,1024,3,3,2,0.1875
316,1024,3,10,0,0.1328125
317,1024,3,10,1,0.1875
318,1024,3,10,2,0.0078125
319,1024,3,50,0,0.46875
320,1024,3,50,1,0.515625
321,2048,1,3,0,0.125
322,2048,1,3,1,0.1484375
323,2048,1,3,2,0.0546875
324,2048,1,10,0,0.15625
325,2048,1,10,1,0.1640625
326,2048,1,10,2,0.1953125
